address,chanquannianxian,chanquanxingzhi,chaoxiang,chengshi,danjia,dianti,house_type,huxing,huxingjiegou,jianzhumianji,jianzhuniandai,link,louceng,lvhualv,quxian,rongjilv,title,wuyefeiyong,wuyeleixing,xiaoqu,zhuangxiu
颐中高山天山-旌德路26号,70年产权;,商品房,南北,,32128元/平米,无,,3室2厅2卫,,171.19平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212910664_12199221x2411097380_165312075.htm,中层,40.2%,,1.29,颐中高山 3室2厅 171平,1.4元/平米·月,住宅                    ,颐中高山,精装修
星海苑浮山所-江西路35号,,商品房,南北,,30882元/平米,无,,4室1厅1卫,,136平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209687266_11788009x2411595223_164759193.htm,高层,31%,,1.38,星海苑 顶加阁 小区 三南卧 南北通透 采光好 出售,0.7元/平米·月,住宅                    ,星海苑,精装修
新昌路八大湖-新昌路4号,,商品房,东,,27084元/平米,无,,2室1厅1卫,平层,57.23平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212355943_12175029x2411788075_162535055.htm,高层,36.5%,,,田家花园新昌路 精装套二 交通便利 生活方便 诚售,暂无资料,住宅                    ,新昌路,精装修
金海广场奥帆中心-澳门路136号,70年产权;,商品房,南北,,44532元/平米,无,,3室2厅2卫,,139平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212835881_11476022x2411603145_160555390.htm,高层,46%,,1.9,金海广场 套三看海 40平大客厅 带电梯,1.2元/平米·月,住宅                    ,金海广场,精装修
东祥园五四广场-青岛市市南区东海西路36号,,商品房,南北,,60000元/平米,无,,3室1厅2卫,,117平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212801448_11633136x2411647431_165332649.htm,低层,35%,,2.5,东祥园 3室1厅 117平,1元/平米·月,住宅                    ,东祥园,精装修
福林花园福州南路-大尧二路17号,70年产权;,个人产权,南北,,29298元/平米,无,,2室1厅1卫,平层,88.06平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209506622_11485604x2411633663_160565653.htm,中层,20%,,1,福林花园 南北卧东明厅 全明户型 3楼 位置好 满五年,0.3元/平米·月,住宅                    ,福林花园,精装修
中海银海一号天山-银川西路7号,70年产权;,个人产权,南北,,29394元/平米,有,,3室2厅2卫,平层,165平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212712906_11238373x2411267823_166021296.htm,低层,40.1%,,3.25,中海银海一号 精装大套三 户型方正 得房 采光好视野佳,2.05元/平米·月,住宅                    ,中海银海一号,精装修
锦绣华城二轻新村-延吉路117号,70年产权;,个人产权,南,,27841元/平米,无,,2室2厅1卫,,88平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212952960_11487976x2411255663_163813259.htm,中层,41%,,1.99,新出好房 锦绣华城 精装套二 南北通透 户型方正 看房有钥匙 M3号,1.48元/平米·月,住宅                    ,锦绣华城,精装修
新贵都B区浮山所-徐州路8-24号,70年产权;,商品房,南北,,38987元/平米,无,,2室1厅1卫,平层,79平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212970137_12269466x2411668627_164413896.htm,高层,35%,,2,17年新装修 市政府旁 02年小区省双税 送阁楼看房方便,0.23元/平米·月,住宅                    ,新贵都B区,豪华装修
中海银海一号天山-银川西路7号,70年产权;,商品房,南,,35106元/平米,有,,2室2厅1卫,平层,94平米,住宅                    ,http://esf.qd.fang.com/chushou/18_211721751_12245603x2411267823_164199185.htm,低层,40.1%,,3.25,中海银海一号 精装套二 低总价 满五年 近青大,2.05元/平米·月,住宅                    ,中海银海一号,精装修
新昌路八大湖-新昌路4号,,商品房,南北,,23850元/平米,无,,2室1厅1卫,,64.15平米,住宅                    ,http://esf.qd.fang.com/chushou/18_213001700_11481272x2411788075_165913431.htm,高层,36.5%,,,新昌路 一南卧一北卧 南北通透 采光好,暂无资料,住宅                    ,新昌路,精装修
银城大厦福州南路-青岛市市南区香港中路62号,,商品房,南北,,26338元/平米,无,,2室1厅0卫,平层,94.92平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212736133_12383088x2411647429_165688490.htm,低层,0%,,,"银城大厦,70年住宅,中行分房,香港中路 地脚优越。",暂无资料,住宅                    ,银城大厦,简装修
天山小区天山-市南区宁国路33号,,个人产权,南北,,25316元/平米,无,,2室2厅1卫,平层,79平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212838301_11494575x2411596383_165049912.htm,中层,41%,,1.1,新出天山小区大套二 南北通透户型 装修好直接入住 诚心出售,0.27元/平米·月,住宅                    ,天山小区,简装修
新贵都二期浮山所-徐州路3号,,个人产权,南北,,29854元/平米,有,,2室2厅1卫,,93.79平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212892376_12430540x2411594943_163510640.htm,低层,35%,,2.3,新贵都二期封闭小区 94平 280万,0.4元/平米·月,住宅                    ,新贵都二期,精装修
万丽海景湛山-东海西路1号,70年产权;,商品房,东南,,45902元/平米,无,,2室2厅2卫,平层,122平米,住宅                    ,http://esf.qd.fang.com/chushou/18_209862036_11474740x2411162251_163803352.htm,中层,35%,,4,万丽海景精装带家电家具带车位楼层好有钥匙560万,7元/平米·月,住宅                    ,万丽海景,精装修
金田公寓西镇-寿张路18号,,商品房,南,,25823元/平米,无,,1室1厅1卫,,61.96平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212979770_11496169x2411725197_166002107.htm,高层,0%,,,金田公寓 1室1厅 61平,暂无资料,住宅                    ,金田公寓,精装修
颐中高山天山-旌德路26号,70年产权;,个人产权,南北,,28919元/平米,有,,4室2厅2卫,,185平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210571583_12146929x2411097380_165612047.htm,高层,40.2%,,1.29,精装修 小区前排 观山景和海景 精装修 看房方便 高品质小区,1.4元/平米·月,住宅                    ,颐中高山,精装修
龙翔广场东海路-东海西路28号,,商品房,南北,,30542元/平米,无,,3室2厅2卫,,203平米,住宅                    ,http://esf.qd.fang.com/chushou/18_210117590_11478086x2411656843_160316407.htm,低层,38%,,2.1,龙翔广场 五四广场 出门即是 平层大套三 元宝户型,0.5元/平米·月,住宅                    ,龙翔广场,豪华装修
云南路小区火车站-云南路周边散盘,,商品房,南,,28954元/平米,无,,2室1厅1卫,,68.73平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212968172_12182871x2411511823_166002107.htm,高层,25%,,3,云南路小区 2室1厅 68平,暂无资料,住宅                    ,云南路小区,精装修
嘉祥路小区西镇-嘉祥路17号,,商品房,东,,25352元/平米,无,,2室1厅1卫,平层,71平米,住宅                    ,http://esf.qd.fang.com/chushou/18_212904331_11479017x2411739551_162878306.htm,高层,0%,,,隆鼎佳 嘉祥路小区 2室1厅1卫 270°海景 可过户,暂无资料,住宅                    ,嘉祥路小区,简装修
伊莎贝拉国际公馆八大峡-贵州路47号,70年产权;,个人产权,南,,30588元/平米,无,,2室1厅1卫,平层,85平米,住宅                    ,http://esf.qd.fang.com/chushou/18_185951712_11628981x2411279265_160527757.htm,高层,20%,,2.94,伊莎贝拉180度海景房靠近团岛八大峡晓港名城金茂湾蓝石海景瀚海,1.8元/平米·月,住宅                    ,伊莎贝拉国际公馆,精装修
